Model,Brand,Image URL,Status,Release Date,Price,SIM,Technology,OS,Dimensions,Weight,Color,Body Material,Screen Size,Type,Display Type,Resolution,PPI,Multi-touch,Protection,5G Networks,4G Networks,3G Networks,2G Networks,Network Speed,RAM,Storage,Card Slot,Rear Camera,Front Camera,Flash,Camera Features,Video Recording,Chipset,CPU,GPU,Battery,Battery Capacity,Fast Charging,Removable Battery,Wi-Fi,Bluetooth,GPS,NFC,USB,Audio Jack,Radio,Sensors,URL,
Galaxy F07 5G,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-F07.webp,Available,"Released 2025, October",MYR  373,"Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE / 5G,"Android 15, up to 6 major Android upgrades, One UI 7",167.4 x 77.4 x 7.6 mm (6.59 x 3.05 x 0.30 in),184 g (6.49 oz),Green,"Glass front, plastic back, plastic frame",6.7 inches,"PLS LCD, 90Hz","PLS LCD, 90Hz","720 x 1600 pixels, 209 ratio",262 ppi density,Yes,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE. 5G",4GB,64GB,microSDXC (uses shared SIM slot),"50 MP, f/1.8, (wide), 1/2.76 inch, 0.64 micro meter, PDAF2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide), 1/4.0 inch, 1.12 micro metre",LED flash,,1080p30fps,Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,5000 mAh,5000 mAh,25W Fast Charging,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","Yes, GPS, GALILEO, GLONASS, BDS, QZSS",,"USB Type-C 2.0, OTG",Yes,FM radio,"Fingerprint (side-mounted), accelerometer, proximity",https://www.mobile57.com/my/phones/samsung-galaxy-f07-15435,
Galaxy M07,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-M07.webp,Available,"Released 2025, October 01",MYR  323,"Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE,"Android 15, up to 6 major Android upgrades, One UI 7",167.4 x 77.4 x 7.6 mm (6.59 x 3.05 x 0.30 in),184 g (6.49 oz),Black,"Glass front, plastic back, plastic frame",6.7 inches,"PLS LCD, 90Hz","PLS LCD, 90Hz","720 x 1600 pixels, 209 ratio",262 ppi density,Yes,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",4GB,64GB,microSDXC (dedicated slot),"50 MP, f/1.8, (wide), 1/2.76 inch, 0.64 micro meter, PDAF2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide), 1/4.0 inch, 1.12 micro metre",LED,LED Flash,1080p30fps,Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,5000 mAh,5000 mAh,25W wired Charging,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","Yes, with A-GPS, GALILEO, GLONASS, BDS, QZSS",No,"USB Type-C 2.0, OTG",Yes,,"Fingerprint (side-mounted), accelerometer, proximity",https://www.mobile57.com/my/phones/samsung-galaxy-m07-15427,
Galaxy S25 FE,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-S25-FE_1.webp,Available,"Released 2025, September 04","MYR  2,687",Nano-SIMNano-SIM + Nano-SIMNano-SIM + eSIMeSIM + eSIM,GSM / CDMA / HSPA / EVDO / LTE / 5G,"Android 16, up to 7 major Android upgrades, One UI 8",161.3 x 76.6 x 7.4 mm (6.35 x 3.02 x 0.29 in),190 g (6.70 oz),"Icyblue, Jetblack, Navy, White","Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass Victus+), aluminum frame",6.7 inches,"Dynamic AMOLED 2X, 120Hz, HDR10+, 1900 nits (peak)","Dynamic AMOLED 2X, 120Hz, HDR10+, 1900 nits (peak)","1080 x 2340 pixels, 19.59 ratio",385 ppi density,Yes,Corning Gorilla Glass Victus Plus,SA/NSA/Sub6,LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE (CA), 5G",8GB,128GB / 256GB /512GB,No,"50 MP, f/1.8, 24mm (wide), 1/1.57 inch, 1.0 micro metre, dual pixel PDAF, OIS8 MP, f/2.4, 75mm (telephoto), 1/4.4 inch, 1.0 micro metre, PDAF, OIS, 3x optical zoom12 MP, f/2.2, 13mm, 123 degree (ultrawide), 1/3.0 inch, 1.12 micro metre","12 MP, f/2.2, 26mm (wide), 1/3.2 inch, 1.12 micro metre",LED,"LED flash, HDR, panorama","8K30fps, 4K30/60/120fps, 1080p30/60/120/240fps",Exynos 2400 (4 nm),10-core (1x3.2GHz Cortex-X4 & 2x2.9GHz Cortex-A720 & 3x2.6GHz Cortex-A720 & 4x1.95GHz Cortex-A520),Xclipse 940,4500 mAh,4500 mAh,"Fast charging 45W wired, PD, QC2, 65% in 30 min",Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band or tri-band (market/region dependent), Wi-Fi Direct","5.4, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,"USB Type-C 3.2, OTG",,No,"Fingerprint (under display, optical), accelerometer, gyro, compassVirtual proximity sensingSamsung DeXCircle to Search",https://www.mobile57.com/my/phones/samsung-galaxy-s25-fe-15300,
Galaxy F56,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-F56.webp,Available,"Released 2025, May","MYR  1,238",Nano-SIM + Nano-SIM,GSM / HSPA / LTE / 5G,"Android 15, up to 6 major Android upgrades, One UI 7",162 x 77.3 x 7.2 mm (6.38 x 3.04 x 0.28 in),180 g (6.35 oz),"Green, Violet","Glass front (Gorilla Glass Victus+), plastic frame, glass back (Gorilla Glass Victus+)",6.74 inches,"Super AMOLED+, 120Hz","Super AMOLED+, 120Hz","1080 x 2340 pixels, 19.59 ratio",382 ppi density,Yes,Corning Gorilla Glass Victus Plus,"1, 3, 5, 8, 28, 40, 41, 78 SA/NSA/Sub6","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE, 5G",8GB,128GB / 256GBUFS 3.1,microSDXC (uses shared SIM slot),"50 MP, f/1.8, (wide), PDAF, OIS8 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)","12 MP, f/2.2, (wide)",LED flash,"HDR, panorama","4K30fps, 1080p30/60fps, gyro-EIS, OIS, 10 bit HDR",Exynos 1480 (4 nm),Octa-core (4x2.75 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Xclipse 530,5000 mAh,5000 mAh,Fast charging 45W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes,"USB Type-C 2.0, OTG",No,No,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",https://www.mobile57.com/my/phones/samsung-galaxy-f56-15114,
Galaxy Z Flip 7 FE,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-Z-Flip7-FE-pictures.webp,Available,"Released 2025, July 25","MYR  3,722",Nano-SIM + eSIMeSIM + eSIMNano-SIM + Nano-SIM,GSM / CDMA / HSPA / EVDO / LTE / 5G,"Android 16, One UI 8",Unfolded 165.1 x 71.9 x 6.9 mmFolded 85.1 x 71.9 x 14.9 mm,187 g (6.60 oz),"Black, White","Plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame",6.7 inches,"Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)","Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",1080 x 2640 pixels,426 ppi density,Yes,,SA/NSA/Sub6 - InternationalSA/NSA/Sub6/mmWave - USA,LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100HSDPA 850 / 900 / 1900 / 2100CDMA2000 1xEV-DO,GSM 850 / 900 / 1800 / 1900CDMA 800 / 1900,"HSPA, LTE (CA), 5G",8GB,128GB / 256GB UFS 4.0,No,"50 MP, f/1.8, 23mm (wide), 1/1.57 inch, 1.0 micro metre, dual pixel PDAF, OIS12 MP, f/2.2, 13mm, 123 degree (ultrawide), 1/3.2 inch, 1.12 micro metre","10 MP, f/2.2, 23mm (wide), 1/3.0 inch, 1.22 micro metre",Dual-LED,"HDR, panorama","4K30/60fps, 1080p60/120/240fps, 720p960fps, HDR10+",Exynos 2400 (4 nm),10-core (1x3.2GHz Cortex-X4 & 2x2.9GHz Cortex-A720 & 3x2.6GHz Cortex-A720 & 4x1.96GHz Cortex-A520),Xclipse 940,4000 mAh,4000 mAh,"25W wired, QC2.0, 50% in 30 min15W wireless4.5W reverse wireless",Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","5.4, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes,"USB Type-C 3.2, OTG",No32-bit/384kHz audio,No,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",https://www.mobile57.com/my/phones/samsung-galaxy-z-flip-7-fe-15106,
Galaxy Z Fold 7,Samsung,https://www.mobile57.com/assets/images/product_images/webp/samsung-galaxy-z-fold7.webp,Available,"Released 2025, July 25","MYR  8,276",Nano-SIM + Nano-SIM + multiple eSIM (max 2 at a time),GSM / CDMA / HSPA / EVDO / LTE / 5G,"Android 16, up to 7 major Android upgrades, One UI 8",Unfolded 158.4 x 143.2 x 4.2 mmFolded 158.4 x 72.8 x 8.9 mm,215 g (7.58 oz),"Blue Shadow, Silver Shadow, Jet Black, Mint","Glass front (Gorilla Glass Victus Ceramic 2) (folded), plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame","8.0 inches, 204.2 cm2","Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)","Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",1968 x 2184 pixels,368 ppi density,Yes,Gorilla Glass Victus 2,SA/NSA/Sub6 - InternationalSA/NSA/Sub6/mmWave - USA,LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100CDMA2000 1xEV-DO,GSM 850 / 900 / 1800 / 1900CDMA 800 / 1900,"HSPA, LTE (CA), 5G",12GB / 16GB,256GB / 512GB / 1TBUFS 4.0,No,"200 MP, f/1.7, 24mm (wide), 1/1.3 inch, 0.6 micro metre, multi-directional PDAF, OIS10 MP, f/2.4, 67mm (telephoto), 1/3.52 inch, 1.12 micro metre, PDAF, OIS, 3x optical zoom12 MP, f/2.2, 123 degree, 12mm (ultrawide), 1/3.2 inch, 1.12 micro metre","10 MP, f/2.2, 18mm (ultrawide), 1.12µmCover camera10 MP, f/2.2, 24mm (wide), 1/3.0 inch, 1.22 micro metre",LED flash,"HDR, panorama","8K30fps, 4K60fps, 1080p60/120/240fps (gyro-EIS), 720p960fps (gyro-EIS), 10-bit HDR, HDR10+",Qualcomm SM8750-AC Snapdragon 8 Elite (3 nm),Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830 (1200 MHz),4400 mAh,4400 mAh,"25W wired, 50% in 30 min (advertised)15W wireless4.5W reverse wireless",Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD","GPS, GALILEO, GLONASS, BDS, QZSS",Yes,"USB Type-C 3.2, OTG",No32-bit/384kHz audioTuned by AK,No,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer Samsung DeX (desktop experience support) Ultra Wideband (UWB) support",https://www.mobile57.com/my/phones/samsung-galaxy-z-fold-7-15099,
Galaxy A07 4G,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-A07-4G_1.webp,Available,"Released 2025, August",MYR  331,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE,"Android 15, up to 6 major Android upgrades, One UI 7",164.4 x 77.4 x 7.6 mm (6.47 x 3.05 x 0.30 in),184 g (6.49 oz),"Gray, Light Blue, Dark Green","Glass front, plastic back, plastic frame",6.7 inches,"PLS LCD, 90Hz","PLS LCD, 90Hz","720 x 1600 pixels, 209 ratio",262 ppi density,Yes,Glass,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",4GB / 6GB / 8GB,64GB / 128GB / 256GBeMMC 5.1,microSDXC (dedicated slot),"50 MP, f/1.8, (wide), 1/2.76 inch, 0.64 micro mtre, PDAF2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide), 1/4.0 inch, 1.12 micro metre",LED flash,,1080p30/60fps,Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,5000 mAh,5000 mAh,15W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,USB Type-C 2.0,Yes,FM radio,"Fingerprint (side-mounted), accelerometer, proximity, compass",https://www.mobile57.com/my/phones/samsung-galaxy-a07-4g-15079,
Galaxy F17,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-F17.webp,Available,"Released 2025, September",MYR  662,"Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE / 5G,"Android 15, up to 6 major Android upgrades, One UI 7",164.4 x 77.9 x 7.5 mm (6.47 x 3.07 x 0.30 in),192 g (6.77 oz),"Black, Violet","Glass front (Gorilla Glass Victus), plastic frame, glass fiber back",6.7 inches,"Super AMOLED, 90Hz, 1100 nits (HBM)","Super AMOLED, 90Hz, 1100 nits (HBM)","1080 x 2340 pixels, 19.59 ratio",385 ppi density,Yes,,"1, 3, 5, 7, 8, 26, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE, 5G",4GB / 6GB,128GB,microSDXC (uses shared SIM slot),"50 MP, f/1.8, (wide), 1/2.76 inch, 0.64 micro meter, AF, OIS5 MP, f/2.2, (ultrawide), 1/5.0 inch, 1.12 micro metre2 MP, f/2.4, (macro)","13 MP, f/2.0, (wide), 1/3.1 inch, 1.12 micro meter",LED,"HDR, panorama","1080p30fps, gyro-EIS",Exynos 1330 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2,5000 mAh,5000 mAh,Fast charging 25W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","Yes, with A-GPS, GALILEO, GLONASS, BDS, QZSS",,USB Type-C 2.0,3.5mm Jack,Yes,"Fingerprint (side-mounted), accelerometer, gyro, compassVirtual proximity sensing",https://www.mobile57.com/my/phones/samsung-galaxy-f17-15033,
Galaxy M17,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-M17.webp,Available,"Released 2025, October",MYR  575,Nano-SIM + Nano-SIM,GSM / HSPA / LTE / 5G,"Android 15, up to 6 major Android upgrades, One UI 7",164.4 x 77.9 x 7.5 mm (6.47 x 3.07 x 0.30 in),192 g (6.77 oz),"Moonlight Silver, Sapphire Black","Glass front (Gorilla Glass Victus), plastic back, plastic frame",6.7 inches,"Super AMOLED, 90Hz, 1100 nits (HBM)","Super AMOLED, 90Hz, 1100 nits (HBM)","1080 x 2340 pixels, 19.59 ratio",385 ppi density,Yes,Corning Gorilla Glass Victus,"1, 3, 5, 7, 8, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE, 5G",4GB / 6GB / 8GB,128GB,microSDXC (uses shared SIM slot),"50 MP, f/1.8, (wide), 1/2.76 inch, 0.64 micro meter, AF, OIS5 MP, f/2.2, (ultrawide), 1/5.0 inch, 1.12 micro meter2 MP, f/2.2, (macro)","13 MP, f/2.0, (wide), 1/3.1 inch, 1.12 micro metre",Dual-LED,"LED flash, panorama, HDR","1080p30fps, gyro-EIS",Exynos 1330 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2,5000 mAh,5000 mAh,25W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes,USB Type-C 2.0,Yes,No,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://www.mobile57.com/my/phones/samsung-galaxy-m17-15031,
Galaxy Z Flip 7,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-Z-Flip7_1.webp,Available,"Released 2025, July","MYR  4,550",Nano-SIM + eSIM + eSIM (max 2 at a time)Nano-SIM + Nano-SIM,GSM / CDMA / HSPA / EVDO / LTE / 5G,"Android 16, One UI 8",Unfolded 166.7 x 75.2 x 6.5 mmFolded 85.5 x 75.2 x 13.7 mm,188 g (6.63 oz),"Blue Shadow, Jet Black, Coral Red, Mint","Plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame","6.9 inches, 111.2 cm2","Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)","Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",1080 x 2640 pixels,397 ppi density,Yes,,SA/NSA/Sub6 - InternationalSA/NSA/Sub6/mmWave - USA,LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100HSDPA 850 / 900 / 1900 / 2100CDMA2000 1xEV-DO,GSM 850 / 900 / 1800 / 1900CDMA 800 / 1900,"HSPA, LTE (CA), 5G",12GB,256GB / 512GBUFS 4.0,No,"50 MP, f/1.8, 23mm (wide), 1/1.57 inch, 1.0 micro metre, dual pixel PDAF, OIS12 MP, f/2.2, 13mm, 123 degree (ultrawide), 1/3.2 inch, 1.12 micro metre","10 MP, f/2.2, 23mm (wide), 1/3.0 inch, 1.22 micro metre",Dual-LED,"HDR, panorama","4K30/60fps, 1080p60/120/240fps, 720p960fps, HDR10+",Exynos 2500 (3 nm),10-core (1x3.3GHz Cortex-X5 & 2x2.74GHz Cortex-A725 & 5x2.36GHz Cortex-A725 & 2x1.8GHz Cortex-A520),Xclipse 950,4300 mAh,4300 mAh,"25W wired, QC2.0, 50% in 30 min15W wireless4.5W reverse wireless",Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.4, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes,"USB Type-C 3.2, OTG",No32-bit/384kHz audio,No,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",https://www.mobile57.com/my/phones/samsung-galaxy-z-flip-7-15009,
Galaxy M06,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-M06.webp,Available,"Release 2025, Q1",MYR  455,"Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE,"Android 15, up to 4 major Android upgrades, One UI Core 7.0",167.4 x 77.4 x 8 mm (6.59 x 3.05 x 0.31 in),191 g (6.74 oz),"Blazing Black, Sage Green","Glass front, plastic back, plastic frame",6.74 inches,"PLS LCD, 800 nits (HBM)","PLS LCD, 800 nits (HBM)","720 x 1600 pixels, 209 ratio",260 ppi density,Yes,,SA/NSA,LTE,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",4GB / 6GB,128GB,microSDXC (dedicated slot),"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide), 1/4.0 inch, 1.12 micro metre",LED,LED Flash,1080p30fps,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,5000 mAh,5000 mAh,25W wired Charging,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,"USB Type-C 2.0, OTG",Yes,,"Fingerprint (side-mounted), accelerometer, proximity, compass",https://www.mobile57.com/my/phones/samsung-galaxy-m06-14994,
Galaxy M16 5G,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-M16_1.webp,Available,"Release 2025, Q2",MYR  580,Nano-SIM + Nano-SIM,GSM / HSPA / LTE / 5G,"Android 15, up to 6 major Android upgrades, One UI 7",164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),,"Thunder Black, MInt Green, Blush Pink","Glass front, plastic back, plastic frame",6.7 inches,"Super AMOLED, 90Hz, 800 nits (HBM)","Super AMOLED, 90Hz, 800 nits (HBM)","1080 x 2340 pixels, 19.59 ratio",385 ppi density,Yes,,SA/NSA/Sub6,LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE, 5G",4GB / 6GB / 8GB,128GB / 256GB,microSDXC (uses shared SIM slot),"50 MP, f/1.8, (wide), 1/2.76 inch, 0.64 micro metre, AF5 MP, f/2.2, (ultrawide), 1/5.0 inch, 1.12 micro metre2 MP, f/2.4, (macro)","13 MP, f/2.0, (wide), 1/3.1 inch, 1.12 micro metre",Dual-LED,"LED flash, panorama, HDR","1080p30fps, gyro-EIS",Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,5000 mAh,5000 mAh,25W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes,USB Type-C 2.0,Yes,No,"Fingerprint (side-mounted), accelerometer, gyro, compassVirtual proximity sensing",https://www.mobile57.com/my/phones/samsung-galaxy-m16-14993,
Galaxy A26,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-A26.webp,Available,"Release 2025, Q2","MYR  1,076",Nano-SIM or Nano-SIM,GSM / HSPA / LTE / 5G,"Android 15, up to 6 major Android upgrades, One UI 7",164 x 77.5 x 7.7 mm (6.46 x 3.05 x 0.30 in),200 g (7.05 oz),"Black, White, Mint, Peach Pink","Glass front (Gorilla Glass Victus+), plastic frame, glass back (Gorilla Glass Victus+)",6.7 inches,"Super AMOLED, 120Hz","Super AMOLED, 120Hz","1080 x 2340 pixels, 19.59 ratio",385 ppi density,Yes,Corning Gorilla Glass Victus PlusAlways-on display,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE, 5G",6GB / 8GB,128GB / 256GB,microSDXC (uses shared SIM slot),"50 MP, f/1.8, 27mm (wide), 1/2.76 inch, 0.64 micro metre, PDAF, OIS8 MP, f/2.2, 120 degree (ultrawide), 1/4 inch, 1.12 micro metre2 MP, f/2.4, (macro)","13 MP, f/2.2, (wide), 1/3.06 inch, 1.12 micro metre",LED,"HDR, panorama","4K30fps, 1080p30fps, 720p480fps, gyro-EIS",Exynos 1380 (5 nm) - GlobalExynos 1280 (5 nm) - LATAM,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) - LATAM,Mali-G68 MP5 - GlobalMali-G68 - LATAM,5000 mAh,5000 mAh,Fast charging 25W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","Yes, with A-GPS, GALILEO, GLONASS, BDS, QZS",Yes,USB Type-C 2.0,Yes,,"Fingerprint (side-mounted), accelerometer, gyro, compassVirtual proximity sensingCircle to Search",https://www.mobile57.com/my/phones/samsung-galaxy-a26-14992,
Galaxy F06 5G,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-F06-5G.webp,Available,"Released 2025, February",MYR  455,"Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE / 5G,"Android 15, up to 4 major Android upgrades, One UI Core 7.0",167.4 x 77.4 x 8 mm (6.59 x 3.05 x 0.31 in),191 g (6.74 oz),"Bahama Blue, Lit Violet","Glass front, plastic back, plastic frame",6.7 inches,"PLS LCD, 800 nits (HBM)","PLS LCD, 800 nits (HBM)","720 x 1600 pixels, 209 ratio",262 ppi density,Yes,,SA/NSA,LTE,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE. 5G",4GB / 6GB,128GB,microSDXC (uses shared SIM slot),"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide), 1/4.0 inch, 1.12 micro metre",LED flash,,1080p30fps,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,5000 mAh,5000 mAh,25W Fast Charging,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","Yes, GPS, GLONASS, GALILEO, BDS",,"USB Type-C 2.0, OTG",Yes,Yes,"Fingerprint (side-mounted), accelerometer, proximity, compass",https://www.mobile57.com/my/phones/samsung-galaxy-f06-5g-14971,
